id,model,prompt,effort,num,run,board_correct,drag_drop_works,checkmate_logic_valid,scenarios_distinct,needs_integrity_stripped,needs_chessboard_js_replaced,scenario_1_valid,scenario_2_valid,scenario_3_valid,valid_scenario_count,notes
anthropic/claude-opus-4.5|standard|high|num_3|run_1,anthropic/claude-opus-4.5,standard,high,3,1,True,True,False,True,False,False,True,False,False,1,
anthropic/claude-opus-4.5|standard|high|num_3|run_2,anthropic/claude-opus-4.5,standard,high,3,2,True,True,False,True,False,False,True,True,True,3,
anthropic/claude-opus-4.5|standard|high|num_3|run_3,anthropic/claude-opus-4.5,standard,high,3,3,True,True,False,True,False,False,True,False,False,1,
anthropic/claude-opus-4.5|standard|high|num_3|run_4,anthropic/claude-opus-4.5,standard,high,3,4,True,False,True,True,False,False,True,True,True,3,
anthropic/claude-opus-4.5|standard|high|num_3|run_5,anthropic/claude-opus-4.5,standard,high,3,5,True,True,False,True,False,False,True,False,False,1,
anthropic/claude-opus-4.5|standard|high|num_3|run_6,anthropic/claude-opus-4.5,standard,high,3,6,True,True,True,True,False,False,True,True,True,3,
anthropic/claude-opus-4.5|standard|high|num_3|run_7,anthropic/claude-opus-4.5,standard,high,3,7,True,True,False,True,False,False,True,True,True,3,
anthropic/claude-opus-4.5|standard|high|num_3|run_8,anthropic/claude-opus-4.5,standard,high,3,8,True,True,False,True,False,False,True,True,True,3,
anthropic/claude-opus-4.5|standard|high|num_3|run_9,anthropic/claude-opus-4.5,standard,high,3,9,True,True,False,True,False,False,True,True,False,2,
anthropic/claude-opus-4.5|standard|high|num_3|run_10,anthropic/claude-opus-4.5,standard,high,3,10,True,True,True,False,False,False,True,True,True,3,
anthropic/claude-sonnet-4.5|standard|high|num_3|run_1,anthropic/claude-sonnet-4.5,standard,high,3,1,False,False,False,True,False,False,False,False,False,0,
anthropic/claude-sonnet-4.5|standard|high|num_3|run_2,anthropic/claude-sonnet-4.5,standard,high,3,2,True,True,False,True,False,False,False,False,False,0,
anthropic/claude-sonnet-4.5|standard|high|num_3|run_3,anthropic/claude-sonnet-4.5,standard,high,3,3,True,True,False,True,False,False,False,False,False,0,
anthropic/claude-sonnet-4.5|standard|high|num_3|run_4,anthropic/claude-sonnet-4.5,standard,high,3,4,True,True,False,True,False,False,False,True,False,1,
anthropic/claude-sonnet-4.5|standard|high|num_3|run_5,anthropic/claude-sonnet-4.5,standard,high,3,5,False,True,False,False,False,False,False,True,False,1,
anthropic/claude-sonnet-4.5|standard|high|num_3|run_6,anthropic/claude-sonnet-4.5,standard,high,3,6,True,True,False,False,False,False,False,False,False,0,
