model,effort,num_requested,run,num_valid,num_unique_valid,num_iterations,perfect,completion_tokens,prompt_tokens,total_tokens
anthropic/claude-opus-4.5,high,10,1,10,10,4,True,61281,4076,65357
anthropic/claude-opus-4.5,high,10,2,10,10,4,True,75515,3977,79492
anthropic/claude-opus-4.5,high,10,3,10,10,9,True,180515,22405,202920
anthropic/claude-opus-4.5,high,10,4,8,8,10,False,149539,27421,176960
anthropic/claude-opus-4.5,high,10,5,8,8,10,False,178660,23142,201802
anthropic/claude-opus-4.5,high,5,1,5,5,3,True,54040,1350,55390
anthropic/claude-opus-4.5,high,5,2,5,5,5,True,34950,3428,38378
anthropic/claude-opus-4.5,high,5,3,5,5,5,True,62716,3701,66417
anthropic/claude-opus-4.5,high,5,4,5,5,3,True,35964,1204,37168
anthropic/claude-opus-4.5,high,5,5,5,5,4,True,48487,2287,50774
anthropic/claude-sonnet-4.5,high,10,1,10,10,7,True,85912,12493,98405
anthropic/claude-sonnet-4.5,high,10,2,6,6,10,False,121242,28019,149261
anthropic/claude-sonnet-4.5,high,10,3,7,7,10,False,118267,26903,145170
anthropic/claude-sonnet-4.5,high,10,4,7,7,10,False,129338,26834,156172
anthropic/claude-sonnet-4.5,high,10,5,10,10,9,True,98078,22697,120775
anthropic/claude-sonnet-4.5,high,5,1,5,5,4,True,34326,2300,36626
anthropic/claude-sonnet-4.5,high,5,2,5,5,8,True,72864,9387,82251
anthropic/claude-sonnet-4.5,high,5,3,5,5,8,True,79138,9259,88397
anthropic/claude-sonnet-4.5,high,5,4,3,3,10,False,96230,14593,110823
anthropic/claude-sonnet-4.5,high,5,5,5,5,5,True,59394,3555,62949
google/gemini-3-pro-preview,high,10,1,10,10,9,True,118687,23149,141836
google/gemini-3-pro-preview,high,10,10,10,10,8,True,94977,27035,122012
google/gemini-3-pro-preview,high,10,2,10,10,7,True,72508,11451,83959
google/gemini-3-pro-preview,high,10,3,10,10,2,True,18858,1025,19883
google/gemini-3-pro-preview,high,10,4,10,10,5,True,54984,9236,64220
google/gemini-3-pro-preview,high,10,5,9,9,10,False,107267,29022,136289
google/gemini-3-pro-preview,high,10,6,10,10,3,True,34940,1966,36906
google/gemini-3-pro-preview,high,10,7,10,10,5,True,52463,6127,58590
google/gemini-3-pro-preview,high,10,8,10,10,5,True,56444,6696,63140
google/gemini-3-pro-preview,high,10,9,10,10,10,True,88049,24054,112103
google/gemini-3-pro-preview,high,5,1,5,5,3,True,25449,1124,26573
google/gemini-3-pro-preview,high,5,10,5,5,3,True,28902,1184,30086
google/gemini-3-pro-preview,high,5,2,5,5,1,True,2444,70,2514
google/gemini-3-pro-preview,high,5,3,5,5,2,True,15153,629,15782
google/gemini-3-pro-preview,high,5,4,5,5,1,True,5031,70,5101
google/gemini-3-pro-preview,high,5,5,5,5,3,True,25378,1064,26442
google/gemini-3-pro-preview,high,5,6,5,5,2,True,9717,423,10140
google/gemini-3-pro-preview,high,5,7,5,5,1,True,3521,72,3593
google/gemini-3-pro-preview,high,5,8,5,5,2,True,16172,448,16620
google/gemini-3-pro-preview,high,5,9,5,5,3,True,21565,1049,22614
openai/gpt-5.1,high,10,1,10,10,1,True,43463,76,43539
openai/gpt-5.1,high,10,10,10,6,4,True,106424,3290,109714
openai/gpt-5.1,high,10,2,10,6,1,True,36202,76,36278
openai/gpt-5.1,high,10,3,10,10,2,True,88908,699,89607
openai/gpt-5.1,high,10,4,10,10,1,True,28625,76,28701
openai/gpt-5.1,high,10,5,10,5,3,True,105257,1856,107113
openai/gpt-5.1,high,10,6,10,8,1,True,39980,76,40056
openai/gpt-5.1,high,10,7,10,8,3,True,105528,1916,107444
openai/gpt-5.1,high,10,8,10,8,2,True,97177,727,97904
openai/gpt-5.1,high,10,9,10,9,3,True,104922,1857,106779
openai/gpt-5.1,high,5,1,5,5,1,True,18790,76,18866
openai/gpt-5.1,high,5,10,5,5,4,True,86149,1971,88120
openai/gpt-5.1,high,5,2,5,5,2,True,51502,419,51921
openai/gpt-5.1,high,5,3,5,5,2,True,43116,447,43563
openai/gpt-5.1,high,5,4,5,5,2,True,36194,422,36616
openai/gpt-5.1,high,5,5,5,4,2,True,57225,435,57660
openai/gpt-5.1,high,5,6,5,5,2,True,45620,428,46048
openai/gpt-5.1,high,5,7,5,5,2,True,43758,449,44207
openai/gpt-5.1,high,5,8,5,5,1,True,36286,76,36362
openai/gpt-5.1,high,5,9,5,5,2,True,47502,422,47924
