model,effort,num_requested,run,scenario_index,name,fen,canonical_fen,move,fen_valid,white_to_move,move_valid,is_checkmate,reasoning_length,error
anthropic/claude-opus-4.5,high,10,1,0,Back Rank Mate (Rook),6k1/5ppp/8/8/8/8/8/4R1K1 w - - 0 1,1K1R4/8/8/8/8/8/ppp5/1k6,Re8#,True,True,True,True,17173,
anthropic/claude-opus-4.5,high,10,1,1,Back Rank Mate (Queen),6k1/5ppp/8/8/8/8/8/3Q2K1 w - - 0 1,1K2Q3/8/8/8/8/8/ppp5/1k6,Qd8#,True,True,True,True,17173,
anthropic/claude-opus-4.5,high,10,1,2,Scholar's Mate,r1bqkb1r/pppp1ppp/2n2n2/4p2Q/2B1P3/8/PPPP1PPP/RNB1K1NR w KQkq - 4 4,RN1K1BNR/PPP1PPPP/8/3P1B2/Q2p4/2n2n2/ppp1pppp/r1bkqb1r,Qxf7#,True,True,True,True,17173,
anthropic/claude-opus-4.5,high,10,1,3,Arabian Mate,6k1/5p1R/4N3/8/8/8/8/6K1 w - - 0 1,1K6/8/8/8/8/3N4/R1p5/1k6,Rh8#,True,True,True,False,17173,Move gives check but not checkmate
anthropic/claude-opus-4.5,high,10,1,4,Smothered Mate,6rk/6pp/8/4N3/8/8/8/6K1 w - - 0 1,1K6/8/8/8/3N4/8/pp6/kr6,Nf7#,True,True,True,True,17173,
anthropic/claude-opus-4.5,high,10,1,5,Boden's Mate,1nkq4/3p4/8/4B3/8/8/8/5BK1 w - - 0 1,1KB5/8/8/8/3B4/8/4p3/4qkn1,Ba6#,True,True,True,False,17173,Move gives check but not checkmate
anthropic/claude-opus-4.5,high,10,1,6,Epaulette Mate,3rkr2/8/8/8/1Q6/8/8/4RK2 w - - 0 1,,Qe7#,False,False,False,False,17173,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,1,7,Opera Mate,6kr/5p2/8/4B3/8/8/8/1Q1R2K1 w - - 0 1,1K2R1Q1/8/8/8/3B4/8/2p5/rk6,Rd8#,True,True,True,True,17173,
anthropic/claude-opus-4.5,high,10,1,8,Damiano's Mate,1R5k/5Qp1/8/8/8/8/8/6K1 w - - 0 1,,Qg8#,False,False,False,False,17173,Invalid position (illegal board state)
anthropic/claude-opus-4.5,high,10,1,9,Greco's Mate,6k1/5p1p/8/8/8/2B5/8/6KR w - - 0 1,1k6/p1p5/8/8/8/5B2/8/RK6,Rh8#,True,True,False,False,17173,Illegal move: Rh8#
anthropic/claude-opus-4.5,high,10,10,0,Back Rank Mate,6k1/5ppp/8/8/8/8/8/3RK3 w - - 0 1,1k6/ppp5/8/8/8/8/8/3KR3,Rd8#,True,True,True,True,29271,
anthropic/claude-opus-4.5,high,10,10,1,Smothered Mate,6rk/6pp/8/4N3/8/8/8/4K3 w - - 0 1,3K4/8/8/8/3N4/8/pp6/kr6,Nf7#,True,True,True,True,29271,
